metric,type
facial_metrics_CountingOnOneBreath_S_L_avg,facial_metrics
facial_metrics_CountingOnOneBreath_S_L_max,facial_metrics
facial_metrics_CountingOnOneBreath_S_R_avg,facial_metrics
facial_metrics_CountingOnOneBreath_S_R_max,facial_metrics
facial_metrics_CountingOnOneBreath_S_avg,facial_metrics
facial_metrics_CountingOnOneBreath_S_max,facial_metrics
facial_metrics_CountingOnOneBreath_S_ratio_avg,facial_metrics
facial_metrics_CountingOnOneBreath_Utterance_dur,facial_metrics
facial_metrics_CountingOnOneBreath_aJC_abs_avg,facial_metrics
facial_metrics_CountingOnOneBreath_aJC_abs_max,facial_metrics
facial_metrics_CountingOnOneBreath_aJC_abs_min,facial_metrics
facial_metrics_CountingOnOneBreath_aJC_avg,facial_metrics
facial_metrics_CountingOnOneBreath_aJC_max,facial_metrics
facial_metrics_CountingOnOneBreath_aJC_min,facial_metrics
facial_metrics_CountingOnOneBreath_aLL_abs_avg,facial_metrics
facial_metrics_CountingOnOneBreath_aLL_abs_max,facial_metrics
facial_metrics_CountingOnOneBreath_aLL_abs_min,facial_metrics
facial_metrics_CountingOnOneBreath_aLL_avg,facial_metrics
facial_metrics_CountingOnOneBreath_aLL_max,facial_metrics
facial_metrics_CountingOnOneBreath_aLL_min,facial_metrics
facial_metrics_CountingOnOneBreath_eye_blinks,facial_metrics
facial_metrics_CountingOnOneBreath_eye_blinks_left,facial_metrics
facial_metrics_CountingOnOneBreath_eye_blinks_right,facial_metrics
facial_metrics_CountingOnOneBreath_eye_open_avg,facial_metrics
facial_metrics_CountingOnOneBreath_eye_open_left_avg,facial_metrics
facial_metrics_CountingOnOneBreath_eye_open_left_max,facial_metrics
facial_metrics_CountingOnOneBreath_eye_open_max,facial_metrics
facial_metrics_CountingOnOneBreath_eye_open_right_avg,facial_metrics
facial_metrics_CountingOnOneBreath_eye_open_right_max,facial_metrics
facial_metrics_CountingOnOneBreath_eyebrow_vpos_icd_avg,facial_metrics
facial_metrics_CountingOnOneBreath_eyebrow_vpos_icd_left_avg,facial_metrics
facial_metrics_CountingOnOneBreath_eyebrow_vpos_icd_left_max,facial_metrics
facial_metrics_CountingOnOneBreath_eyebrow_vpos_icd_max,facial_metrics
facial_metrics_CountingOnOneBreath_eyebrow_vpos_icd_right_avg,facial_metrics
facial_metrics_CountingOnOneBreath_eyebrow_vpos_icd_right_max,facial_metrics
facial_metrics_CountingOnOneBreath_eyebrow_vpos_nt_avg,facial_metrics
facial_metrics_CountingOnOneBreath_eyebrow_vpos_nt_left_avg,facial_metrics
facial_metrics_CountingOnOneBreath_eyebrow_vpos_nt_left_max,facial_metrics
facial_metrics_CountingOnOneBreath_eyebrow_vpos_nt_max,facial_metrics
facial_metrics_CountingOnOneBreath_eyebrow_vpos_nt_right_avg,facial_metrics
facial_metrics_CountingOnOneBreath_eyebrow_vpos_nt_right_max,facial_metrics
facial_metrics_CountingOnOneBreath_head_tilt_rotation_avg,facial_metrics
facial_metrics_CountingOnOneBreath_head_tilt_rotation_max,facial_metrics
facial_metrics_CountingOnOneBreath_head_tilt_rotation_min,facial_metrics
facial_metrics_CountingOnOneBreath_head_tilt_translation_avg,facial_metrics
facial_metrics_CountingOnOneBreath_head_tilt_translation_max,facial_metrics
facial_metrics_CountingOnOneBreath_head_tilt_translation_min,facial_metrics
facial_metrics_CountingOnOneBreath_jJC_abs_avg,facial_metrics
facial_metrics_CountingOnOneBreath_jJC_abs_max,facial_metrics
facial_metrics_CountingOnOneBreath_jJC_abs_min,facial_metrics
facial_metrics_CountingOnOneBreath_jJC_avg,facial_metrics
facial_metrics_CountingOnOneBreath_jJC_max,facial_metrics
facial_metrics_CountingOnOneBreath_jJC_min,facial_metrics
facial_metrics_CountingOnOneBreath_jLL_abs_avg,facial_metrics
facial_metrics_CountingOnOneBreath_jLL_abs_max,facial_metrics
facial_metrics_CountingOnOneBreath_jLL_abs_min,facial_metrics
facial_metrics_CountingOnOneBreath_jLL_avg,facial_metrics
facial_metrics_CountingOnOneBreath_jLL_max,facial_metrics
facial_metrics_CountingOnOneBreath_jLL_min,facial_metrics
facial_metrics_CountingOnOneBreath_normalization_distance_0,facial_metrics
facial_metrics_CountingOnOneBreath_normalization_unit_0,facial_metrics
facial_metrics_CountingOnOneBreath_normalized,facial_metrics
facial_metrics_CountingOnOneBreath_open_avg,facial_metrics
facial_metrics_CountingOnOneBreath_open_max,facial_metrics
facial_metrics_CountingOnOneBreath_open_min,facial_metrics
facial_metrics_CountingOnOneBreath_vJC_abs_avg,facial_metrics
facial_metrics_CountingOnOneBreath_vJC_abs_max,facial_metrics
facial_metrics_CountingOnOneBreath_vJC_abs_min,facial_metrics
facial_metrics_CountingOnOneBreath_vJC_avg,facial_metrics
facial_metrics_CountingOnOneBreath_vJC_max,facial_metrics
facial_metrics_CountingOnOneBreath_vJC_min,facial_metrics
facial_metrics_CountingOnOneBreath_vLL_abs_avg,facial_metrics
facial_metrics_CountingOnOneBreath_vLL_abs_max,facial_metrics
